data_year,county_fips,county_name,disease_slug,case_count,is_suppressed,data_source
2024,36001,Albany,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36001,Albany,amebiasis,2,0,annual-report-pdf
2024,36001,Albany,anaplasmosis,83,0,annual-report-pdf
2024,36001,Albany,babesiosis,31,0,annual-report-pdf
2024,36001,Albany,blastomycosis,0,0,annual-report-pdf
2024,36001,Albany,botulism,0,0,annual-report-pdf
2024,36001,Albany,brucellosis,0,0,annual-report-pdf
2024,36001,Albany,campylobacteriosis,85,0,annual-report-pdf
2024,36001,Albany,candida-auris,1,0,annual-report-pdf
2024,36001,Albany,chikungunya,0,0,annual-report-pdf
2024,36001,Albany,chlamydia,1597,0,annual-report-pdf
2024,36001,Albany,cryptosporidiosis,14,0,annual-report-pdf
2024,36001,Albany,cyclosporiasis,6,0,annual-report-pdf
2024,36001,Albany,dengue-fever,2,0,annual-report-pdf
2024,36001,Albany,diphtheria,0,0,annual-report-pdf
2024,36001,Albany,e-coli-stec,20,0,annual-report-pdf
2024,36001,Albany,ehrlichiosis,0,0,annual-report-pdf
2024,36001,Albany,giardiasis,41,0,annual-report-pdf
2024,36001,Albany,gonorrhea,641,0,annual-report-pdf
2024,36001,Albany,haemophilus-influenzae,6,0,annual-report-pdf
2024,36001,Albany,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36001,Albany,hepatitis-a,4,0,annual-report-pdf
2024,36001,Albany,hepatitis-b-acute,1,0,annual-report-pdf
2024,36001,Albany,hepatitis-b-chronic,67,0,annual-report-pdf
2024,36001,Albany,hepatitis-c-acute,10,0,annual-report-pdf
2024,36001,Albany,hepatitis-c-chronic,71,0,annual-report-pdf
2024,36001,Albany,influenza,2285,0,annual-report-pdf
2024,36001,Albany,legionellosis,42,0,annual-report-pdf
2024,36001,Albany,listeriosis,0,0,annual-report-pdf
2024,36001,Albany,lyme-disease,489,0,annual-report-pdf
2024,36001,Albany,malaria,4,0,annual-report-pdf
2024,36001,Albany,measles,0,0,annual-report-pdf
2024,36001,Albany,meningitis-aseptic,3,0,annual-report-pdf
2024,36001,Albany,meningitis-bacterial,0,0,annual-report-pdf
2024,36001,Albany,meningococcal,0,0,annual-report-pdf
2024,36001,Albany,mumps,0,0,annual-report-pdf
2024,36001,Albany,neonatal-herpes,1,0,annual-report-pdf
2024,36001,Albany,pertussis,21,0,annual-report-pdf
2024,36001,Albany,q-fever,0,0,annual-report-pdf
2024,36001,Albany,rocky-mountain-spotted-fever,1,0,annual-report-pdf
2024,36001,Albany,rsv,761,0,annual-report-pdf
2024,36001,Albany,salmonellosis,37,0,annual-report-pdf
2024,36001,Albany,shigellosis,21,0,annual-report-pdf
2024,36001,Albany,strep-a-invasive,49,0,annual-report-pdf
2024,36001,Albany,strep-b-invasive,26,0,annual-report-pdf
2024,36001,Albany,strep-pneumo-invasive,30,0,annual-report-pdf
2024,36001,Albany,syphilis-early,66,0,annual-report-pdf
2024,36001,Albany,syphilis-late,50,0,annual-report-pdf
2024,36001,Albany,tetanus,0,0,annual-report-pdf
2024,36001,Albany,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36001,Albany,tuberculosis,5,0,annual-report-pdf
2024,36001,Albany,tularemia,0,0,annual-report-pdf
2024,36001,Albany,typhoid-fever,2,0,annual-report-pdf
2024,36001,Albany,varicella,1,0,annual-report-pdf
2024,36001,Albany,vibriosis,4,0,annual-report-pdf
2024,36001,Albany,visa-staph,0,0,annual-report-pdf
2024,36001,Albany,west-nile-fever,0,0,annual-report-pdf
2024,36001,Albany,west-nile-virus,0,0,annual-report-pdf
2024,36001,Albany,yersiniosis,20,0,annual-report-pdf
2024,36003,Allegany,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36003,Allegany,amebiasis,1,0,annual-report-pdf
2024,36003,Allegany,anaplasmosis,17,0,annual-report-pdf
2024,36003,Allegany,babesiosis,0,0,annual-report-pdf
2024,36003,Allegany,blastomycosis,0,0,annual-report-pdf
2024,36003,Allegany,botulism,0,0,annual-report-pdf
2024,36003,Allegany,brucellosis,0,0,annual-report-pdf
2024,36003,Allegany,campylobacteriosis,22,0,annual-report-pdf
2024,36003,Allegany,candida-auris,0,0,annual-report-pdf
2024,36003,Allegany,chikungunya,0,0,annual-report-pdf
2024,36003,Allegany,chlamydia,74,0,annual-report-pdf
2024,36003,Allegany,cryptosporidiosis,5,0,annual-report-pdf
2024,36003,Allegany,cyclosporiasis,0,0,annual-report-pdf
2024,36003,Allegany,dengue-fever,1,0,annual-report-pdf
2024,36003,Allegany,diphtheria,0,0,annual-report-pdf
2024,36003,Allegany,e-coli-stec,6,0,annual-report-pdf
2024,36003,Allegany,ehrlichiosis,0,0,annual-report-pdf
2024,36003,Allegany,giardiasis,6,0,annual-report-pdf
2024,36003,Allegany,gonorrhea,16,0,annual-report-pdf
2024,36003,Allegany,haemophilus-influenzae,0,0,annual-report-pdf
2024,36003,Allegany,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36003,Allegany,hepatitis-a,0,0,annual-report-pdf
2024,36003,Allegany,hepatitis-b-acute,0,0,annual-report-pdf
2024,36003,Allegany,hepatitis-b-chronic,0,0,annual-report-pdf
2024,36003,Allegany,hepatitis-c-acute,0,0,annual-report-pdf
2024,36003,Allegany,hepatitis-c-chronic,5,0,annual-report-pdf
2024,36003,Allegany,influenza,662,0,annual-report-pdf
2024,36003,Allegany,legionellosis,2,0,annual-report-pdf
2024,36003,Allegany,listeriosis,0,0,annual-report-pdf
2024,36003,Allegany,lyme-disease,193,0,annual-report-pdf
2024,36003,Allegany,malaria,0,0,annual-report-pdf
2024,36003,Allegany,measles,0,0,annual-report-pdf
2024,36003,Allegany,meningitis-aseptic,0,0,annual-report-pdf
2024,36003,Allegany,meningitis-bacterial,1,0,annual-report-pdf
2024,36003,Allegany,meningococcal,0,0,annual-report-pdf
2024,36003,Allegany,mumps,0,0,annual-report-pdf
2024,36003,Allegany,neonatal-herpes,1,0,annual-report-pdf
2024,36003,Allegany,pertussis,4,0,annual-report-pdf
2024,36003,Allegany,q-fever,0,0,annual-report-pdf
2024,36003,Allegany,rocky-mountain-spotted-fever,0,0,annual-report-pdf
2024,36003,Allegany,rsv,169,0,annual-report-pdf
2024,36003,Allegany,salmonellosis,6,0,annual-report-pdf
2024,36003,Allegany,shigellosis,0,0,annual-report-pdf
2024,36003,Allegany,strep-a-invasive,7,0,annual-report-pdf
2024,36003,Allegany,strep-b-invasive,7,0,annual-report-pdf
2024,36003,Allegany,strep-pneumo-invasive,7,0,annual-report-pdf
2024,36003,Allegany,syphilis-early,0,0,annual-report-pdf
2024,36003,Allegany,syphilis-late,2,0,annual-report-pdf
2024,36003,Allegany,tetanus,0,0,annual-report-pdf
2024,36003,Allegany,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36003,Allegany,tuberculosis,0,0,annual-report-pdf
2024,36003,Allegany,tularemia,0,0,annual-report-pdf
2024,36003,Allegany,typhoid-fever,0,0,annual-report-pdf
2024,36003,Allegany,varicella,1,0,annual-report-pdf
2024,36003,Allegany,vibriosis,0,0,annual-report-pdf
2024,36003,Allegany,visa-staph,0,0,annual-report-pdf
2024,36003,Allegany,west-nile-fever,0,0,annual-report-pdf
2024,36003,Allegany,west-nile-virus,0,0,annual-report-pdf
2024,36003,Allegany,yersiniosis,0,0,annual-report-pdf
2024,36005,Bronx,acute-flaccid-myelitis,,1,annual-report-pdf
2024,36005,Bronx,amebiasis,171,0,annual-report-pdf
2024,36005,Bronx,anaplasmosis,65,0,annual-report-pdf
2024,36005,Bronx,babesiosis,78,0,annual-report-pdf
2024,36005,Bronx,blastomycosis,0,0,annual-report-pdf
2024,36005,Bronx,botulism,4,0,annual-report-pdf
2024,36005,Bronx,brucellosis,2,0,annual-report-pdf
2024,36005,Bronx,campylobacteriosis,3949,0,annual-report-pdf
2024,36005,Bronx,candida-auris,,1,annual-report-pdf
2024,36005,Bronx,chikungunya,8,0,annual-report-pdf
2024,36005,Bronx,chlamydia,62774,0,annual-report-pdf
2024,36005,Bronx,cryptosporidiosis,342,0,annual-report-pdf
2024,36005,Bronx,cyclosporiasis,337,0,annual-report-pdf
2024,36005,Bronx,dengue-fever,229,0,annual-report-pdf
2024,36005,Bronx,diphtheria,0,0,annual-report-pdf
2024,36005,Bronx,e-coli-stec,953,0,annual-report-pdf
2024,36005,Bronx,ehrlichiosis,23,0,annual-report-pdf
2024,36005,Bronx,giardiasis,1461,0,annual-report-pdf
2024,36005,Bronx,gonorrhea,32889,0,annual-report-pdf
2024,36005,Bronx,haemophilus-influenzae,173,0,annual-report-pdf
2024,36005,Bronx,hemolytic-uremic-syndrome,3,0,annual-report-pdf
2024,36005,Bronx,hepatitis-a,59,0,annual-report-pdf
2024,36005,Bronx,hepatitis-b-acute,63,0,annual-report-pdf
2024,36005,Bronx,hepatitis-b-chronic,7756,0,annual-report-pdf
