county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,concentration,our_level,our_trend,plant_id,plant_name,population_served,fetched_at
36019,Clinton,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1266,ID:1266,20893,2026-07-27T10:43:16Z
36021,Columbia,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1269,ID:1269,6374,2026-07-27T10:43:16Z
36023,Cortland,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1270,ID:1270,26950,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1278,ID:1278,38207,2026-07-27T10:43:16Z
36031,Essex,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:2563,ID:2563,6264,2026-07-27T10:43:16Z
36043,Herkimer,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1304,ID:1304,13924,2026-07-27T10:43:16Z
36055,Monroe,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1323,ID:1323,487322,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.39,,,,low,stable,ID:1331,ID:1331,27494,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.33,,,,low,stable,ID:1330,ID:1330,524955,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-18,0.36,,,,low,stable,ID:1329,ID:1329,611349,2026-07-27T10:43:16Z
36063,Niagara,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1339,ID:1339,48196,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:2567,ID:2567,33358,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1361,ID:1361,25965,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1359,ID:1359,50727,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1357,ID:1357,242377,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1356,ID:1356,39352,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1355,ID:1355,16168,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1354,ID:1354,30613,2026-07-27T10:43:16Z
36075,Oswego,covid-19,SARS-CoV-2,2026-07-18,1.14,,,,low,stable,ID:1378,ID:1378,30000,2026-07-27T10:43:16Z
36075,Oswego,influenza,Influenza A virus,2026-07-18,1.0,,,,low,stable,ID:1378,ID:1378,30000,2026-07-27T10:43:16Z
36075,Oswego,rsv,RSV,2026-07-18,1.0,,,,low,stable,ID:1378,ID:1378,30000,2026-07-27T10:43:16Z
36109,Tompkins,covid-19,SARS-CoV-2,2026-07-18,0.49,,,,low,stable,ID:1431,ID:1431,90000,2026-07-27T10:43:16Z
36109,Tompkins,influenza,Influenza A virus,2026-07-18,1.0,,,,low,stable,ID:1431,ID:1431,90000,2026-07-27T10:43:16Z
36109,Tompkins,rsv,RSV,2026-07-18,1.0,,,,low,stable,ID:1431,ID:1431,90000,2026-07-27T10:43:16Z
36113,Warren,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1435,ID:1435,23462,2026-07-27T10:43:16Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1446,ID:1446,26651,2026-07-27T10:43:16Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1444,ID:1444,31046,2026-07-27T10:43:16Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,1.0,,,,low,stable,ID:1443,ID:1443,44876,2026-07-27T10:43:16Z
36119,Westchester,covid-19,SARS-CoV-2,2026-07-18,8.08,,,,high,stable,ID:1442,ID:1442,94095,2026-07-27T10:43:16Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1247,ID:1247,109426,2026-07-27T10:43:16Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1246,ID:1246,31023,2026-07-27T10:43:16Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1245,ID:1245,21281,2026-07-27T10:43:16Z
36001,Albany,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1244,ID:1244,80922,2026-07-27T10:43:16Z
36007,Broome,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1254,ID:1254,38726,2026-07-27T10:43:16Z
36009,Cattaraugus,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1255,ID:1255,17760,2026-07-27T10:43:16Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1260,ID:1260,3365,2026-07-27T10:43:16Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1258,ID:1258,12616,2026-07-27T10:43:16Z
36013,Chautauqua,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1257,ID:1257,9379,2026-07-27T10:43:16Z
36015,Chemung,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1262,ID:1262,18085,2026-07-27T10:43:16Z
36015,Chemung,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1261,ID:1261,38037,2026-07-27T10:43:16Z
36017,Chenango,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1263,ID:1263,6734,2026-07-27T10:43:16Z
36019,Clinton,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1266,ID:1266,20893,2026-07-27T10:43:16Z
36019,Clinton,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1264,ID:1264,5532,2026-07-27T10:43:16Z
36021,Columbia,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1269,ID:1269,6374,2026-07-27T10:43:16Z
36023,Cortland,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1270,ID:1270,26950,2026-07-27T10:43:16Z
36025,Delaware,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1272,ID:1272,3581,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1279,ID:1279,13856,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1278,ID:1278,38207,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1277,ID:1277,21516,2026-07-27T10:43:16Z
36027,Dutchess,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1276,ID:1276,14525,2026-07-27T10:43:16Z
